term_id	field	term	definition
BOLD:CV:SMPRC30	Sampling_protocol	CO2 trap	Uses carbon dioxide to attract mosquitoes and other insects drawn to CO2, often combined with a fan or light to increase capture rates.
BOLD:CV:SMPRC31	Sampling_protocol	Electroshock	Uses electric currents in aquatic habitats to temporarily stun fish and other aquatic organisms for collection.
BOLD:CV:SMPRC32	Sampling_protocol	Larval collection	Specifically targets larval stages of insects, often using methods like leaf sampling or soil extraction.
BOLD:CV:SMPRC33	Sampling_protocol	Sherman LF	A live trap designed for capturing small mammals, known for its humane trapping mechanism, allowing for live release.
BOLD:CV:SMPRC34	Sampling_protocol	Sherman XLK	An extended-size Sherman trap, used for capturing larger small mammals.
BOLD:CV:SMPRC35	Sampling_protocol	Mixed	Combination of collection methods where detailed metadata was not maintained or samples were pooled after collection.
BOLD:CV:SMPRC36	Sampling_protocol	Unavailable	Where the sampling protocol is lost or unavailable.
BOLD:CV:SMPRC37	Sampling_protocol	Bait trap	Utilizes bait to attract specific organisms, such as carnivorous or herbivorous insects, into a collection container.
BOLD:CV:SMPRC38	Sampling_protocol	Beating sheet	A cloth or sheet placed under vegetation, onto which insects are dislodged by beating branches, capturing canopy-dwelling arthropods.
BOLD:CV:SMPRC39	Sampling_protocol	Vacuum	Uses suction to collect small invertebrates from vegetation or soil, commonly used for agricultural pest studies and ecological surveys.
BOLD:CV:SMPRC40	Sampling_protocol	Vane trap	Intercepts flying insects with vertical panels that direct them into a collection chamber.
BOLD:CV:SMPRC41	Sampling_protocol	Pheromone trap	Uses species-specific pheromones to attract target insects, like moths or beetles, into a collection device, ideal for monitoring pest species.
BOLD:CV:SMPRC42	Sampling_protocol	Sticky trap	A passive sampling method that uses a sticky surface to capture insects as they land, effective for small, flying insects like aphids, whiteflies, and thrips.
BOLD:CV:SMPRC43	Sampling_protocol	Lindgren funnel	A multi-funnel trap designed to intercept and capture flying insects, especially bark beetles and other forest pests, guiding insects down through a series of funnels into a collection container.
