term_id	field	term	definition
BOLD:CV:SMPRC31	sampling_protocol	Electroshock	Uses electric currents in aquatic habitats to temporarily stun fish and other aquatic organisms for collection.
BOLD:CV:SMPRC32	sampling_protocol	Larval collection	Specifically targets larval stages of insects, often using methods like leaf sampling or soil extraction.
BOLD:CV:SMPRC33	sampling_protocol	Sherman LF	A live trap designed for capturing small mammals, known for its humane trapping mechanism, allowing for live release.
BOLD:CV:SMPRC34	sampling_protocol	Sherman XLK	An extended-size Sherman trap, used for capturing larger small mammals.
BOLD:CV:SMPRC35	sampling_protocol	Mixed	Combination of collection methods where detailed metadata was not maintained or samples were pooled after collection.
BOLD:CV:SMPRC36	sampling_protocol	Unavailable	Where the sampling protocol is lost or unavailable.
BOLD:CV:SMPRC37	sampling_protocol	Bait trap	Utilizes bait to attract specific organisms, such as carnivorous or herbivorous insects, into a collection container.
BOLD:CV:SMPRC38	sampling_protocol	Beating sheet	A cloth or sheet placed under vegetation, onto which insects are dislodged by beating branches, capturing canopy-dwelling arthropods.
BOLD:CV:SMPRC39	sampling_protocol	Vacuum	Uses suction to collect small invertebrates from vegetation or soil, commonly used for agricultural pest studies and ecological surveys.
BOLD:CV:SMPRC40	sampling_protocol	Vane trap	Intercepts flying insects with vertical panels that direct them into a collection chamber.
BOLD:CV:SMPRC41	sampling_protocol	Pheromone trap	Uses species-specific pheromones to attract target insects, like moths or beetles, into a collection device, ideal for monitoring pest species.
BOLD:CV:SMPRC42	sampling_protocol	Sticky trap	A passive sampling method that uses a sticky surface to capture insects as they land, effective for small, flying insects like aphids, whiteflies, and thrips.
BOLD:CV:SMPRC43	sampling_protocol	Lindgren funnel	A multi-funnel trap designed to intercept and capture flying insects, especially bark beetles and other forest pests, guiding insects down through a series of funnels into a collection container.
BOWP:CV:COI1	confidence_of_identification	high	Identification supported by strong evidence and clear diagnostic features; sequence or morphological match shows high confidence with minimal ambiguity.
BOWP:CV:COI2	confidence_of_identification	medium	Identification supported by moderate evidence; some uncertainty remains due to incomplete data, lower sequence similarity, or ambiguous diagnostic traits.
BOWP:CV:COI3	confidence_of_identification	low	Identification tentative or uncertain; limited supporting data or weak sequence similarity prevents strong taxonomic assignment.
BOWP:CV:COI4	confidence_of_identification	none	No reliable identification could be made due to lack of data, poor sequence quality, or absence of matching reference material.
BOWP:CV:MOD1	method_of_delivery	post-collection	Samples were shipped after collection via standard postal or courier service, typically under controlled or documented conditions.
BOWP:CV:MOD2	method_of_delivery	courier	Samples transported using a commercial courier service providing tracking and expedited delivery.
BOWP:CV:MOD3	method_of_delivery	hand-delivered	Samples personally transported by an individual to ensure direct custody and delivery.
BOWP:CV:RG1	reference_grade	platinum	Top-tier reference record meeting all data quality and traceability criteria, including voucher specimen, sequence validation, and full metadata (see specification document).
BOWP:CV:RG2	reference_grade	gold	High-quality reference record meeting most criteria for data integrity and traceability, with verified sequence and specimen linkage (see specification document).
BOWP:CV:RG3	reference_grade	silver	Moderate-quality record with verified sequence data but partial or incomplete supporting metadata (see specification document).
BOWP:CV:RG4	reference_grade	bronze	Basic reference record containing usable sequence data with limited supporting metadata (see specification document).
BOWP:CV:SBC1	sealed_bag_contents	biomaterial	Sealed bag contains biological samples such as tissues, specimens, or extracted DNA for analysis or storage.
BOWP:CV:SBC2	sealed_bag_contents	compact-disc	Sealed bag contains a compact disc with digital data such as sequences, images, or documentation.
BOWP:CV:SBC3	sealed_bag_contents	sd-card	Sealed bag contains a secure digital (SD) card with electronic records or field data.
BOWP:CV:SBC4	sealed_bag_contents	forensic-bag	Sealed forensic evidence bag used for maintaining chain of custody, typically containing biological or digital materials.
BOWP:CV:STT1	specimen_tag_type	microchip	An electronic microchip implanted or attached to the specimen, providing a unique digital identifier.
BOWP:CV:STT2	specimen_tag_type	ring	A physical band or ring attached to an organism, commonly used for birds or small mammals, bearing a unique ID code.
BOWP:CV:STT3	specimen_tag_type	physical-tag	A durable physical tag or label attached to a specimen for identification and traceability.
BOWP:CV:STT4	specimen_tag_type	notch	A small cut or notch applied to a fin, ear, or other tissue to serve as a physical identifier.
BOWP:CV:STT5	specimen_tag_type	branding	A permanent mark applied to the specimen (e.g., heat or freeze brand) to indicate individual identity or ownership.
BOWP:CAOS:IT1	image_type	diagnostic	Image highlighting diagnostic features used for species identification.
BOWP:CAOS:IT2	image_type	sampling	Image documenting the sampling process or collection context.
BOWP:CAOS:IT3	image_type	bag-opening	Image taken when the sealed bag is opened, showing initial condition of contents.
BOWP:CAOS:IT4	image_type	collection-site	Image depicting the collection site or habitat where sampling occurred.
BOWP:CAOS:IT5	image_type	resealing	Image showing the resealing of the sample bag or container after handling.
BOWP:CAOS:DC1	document_category	permit	Official authorization document allowing collection, transport, or analysis of specimens.
BOWP:CAOS:DC2	document_category	statement	Formal written declaration or attestation associated with sampling or analysis.
BOWP:CAOS:DC3	document_category	biobanking-process	Document describing procedures for accessioning, storage, and management of biological materials in a biobank.
BOWP:CAOS:DC4	document_category	lab-worksheets	Operational laboratory worksheets recording experimental steps and observations.
BOWP:CAOS:DC5	document_category	coc-sampling	Chain-of-custody sampling documentation ensuring traceability of specimens through all handling stages.
BOWP:CAOS:DOC1	document	field-datasheet	Field record sheet documenting specimen collection details, including date, location, and collector.
BOWP:CAOS:DOC2	document	biobank-accession	Document recording the accession of samples into a biobank or repository.
BOWP:CAOS:DOC3	document	biobank-retrieval	Record documenting the retrieval of a stored sample from a biobank for processing or analysis.
BOWP:CAOS:DOC4	document	sample-handling statement	Statement describing handling procedures and conditions applied to a sample.
BOWP:CAOS:DOC5	document	lab-extraction	Laboratory document recording DNA extraction procedures and results.
BOWP:CAOS:DOC6	document	lab-pcr	Document detailing PCR setup, amplification conditions, and outcomes.
BOWP:CAOS:DOC7	document	lab-gel	Gel electrophoresis record showing visualization and validation of PCR products.
BOWP:CAOS:DOC8	document	lab-pcr-cleanup	Document describing purification steps following PCR to prepare products for sequencing.
BOWP:CAOS:DOC9	document	lab-cycle-sequencing	Record of cycle sequencing reactions, reagents, and thermocycling parameters.
BOWP:CAOS:DOC10	document	lab-sequencing-cleanup	Document describing post-sequencing purification to remove unincorporated dyes or reagents.
BOWP:CAOS:DOC11	document	lab-sequencing	Record of sequencing runs, including platform, parameters, and raw output files.
BOWP:CAOS:DOC12	document	lab-sequence-assembly	Document describing assembly of sequence reads into consensus sequences.
BOWP:CAOS:DOC13	document	lab-result-statement	Statement summarizing analytical results, including quality metrics and interpretations.
BOWP:CAOS:DOC14	document	taxonomic-id-statement	Statement identifying the specimen or sample’s taxonomic assignment based on available data.
BOWP:CAOS:DOC15	document	lab-administrative-review-statement	Document recording supervisory or quality control review of laboratory work and records.
